"","NAICS.id","US_EMP","kings_EMP","kings_e","kings_E","kings_LQ","kings_bi","V8"
"1","1131",2632,NA,NA,2.42878397287536e-05,NA,NA,NA
"2","1132",2216,NA,NA,2.04490322336314e-05,NA,NA,"BASE MULTIPLIER"
"3","1133",59597,NA,NA,0.000549955313189409,NA,NA,"1.48818887054376"
"4","1141",5302,NA,NA,4.89263397575423e-05,NA,NA,NA
"5","1142",1845,NA,NA,1.7025480356972e-05,NA,NA,NA
"6","1151",66313,654,0.042966953551015,0.000611929907269314,70.215482264548,644.685814881454,NA
"7","1152",20460,59.5,0.00390907299126207,0.000188802887861055,20.7045190650837,56.6262312438669,NA
"8","1153",13740,NA,NA,0.000126791382170621,NA,NA,NA
"9","2111",150443,NA,NA,0.00138827335574197,NA,NA,NA
"10","2121",77435,NA,NA,0.000714562640348036,NA,NA,NA
"11","2122",35004,NA,NA,0.00032301350374821,NA,NA,NA
"12","2123",98938,NA,NA,0.000912990230654794,NA,NA,NA
